Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,MaxTrends_movie,MaxTrends_Actor,MaxTrends_Director,Corrected_Gross
avengers  endgame,2019,UA,181 min,"Action, Adventure, Drama",8.4,78.0,anthony russo,Chris Hemsworth,Robert Downey Jr,Chris Evans,Mark Ruffalo,809955,858373000,38202500,651178,16692,982594453
avengers  infinity war,2018,UA,149 min,"Action, Adventure, Sci-Fi",8.4,68.0,anthony russo,Scarlett Johansson,Robert Downey Jr,Chris Hemsworth,Mark Ruffalo,834477,678815482,24031700,696753,16692,791131847
thor  ragnarok,2017,UA,130 min,"Action, Adventure, Comedy",7.9,74.0,taika waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,587775,315058289,14160500,345083,294255,376156101
interstellar,2014,UA,169 min,"Adventure, Drama, Sci-Fi",8.6,74.0,christopher nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,1512360,188020017,13634200,370785,1607733,232431899
inception,2010,UA,148 min,"Action, Adventure, Sci-Fi",8.8,74.0,christopher nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042,292576195,11969333,279803,1607733,392669251
logan,2017,A,137 min,"Action, Drama, Sci-Fi",8.1,77.0,james mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,647884,226277068,11887200,288539,21915,270157944
deadpool 2,2018,R,119 min,"Action, Adventure, Comedy",7.7,66.0,david leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison,478586,324591735,10479400,316850,23111,378298471
guardians of the galaxy,2014,UA,121 min,"Action, Adventure, Comedy",8.0,76.0,james gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,1043455,333176600,9944203,812213,1231400,411875666
the dark knight rises,2012,UA,164 min,"Action, Adventure",8.4,78.0,christopher nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,1516346,448139099,9932500,266315,1607733,571226373
dangal,2016,U,161 min,"Action, Biography, Drama",8.4,,nitesh tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,156479,12391761,9574900,133231,11032,15110021
coco,2017,U,105 min,"Animation, Adventure, Family",8.4,81.0,lee unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,384171,209726015,9370726,104843,14333,250397221
joker,2019,A,122 min,"Crime, Drama, Thriller",8.5,59.0,todd phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,939252,335451311,9191600,909128,55614,383996931
rogue one,2016,UA,133 min,"Action, Adventure, Sci-Fi",7.8,65.0,gareth edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,556608,532177324,8630500,123410,44102,648915884
toy story 4,2019,U,100 min,"Animation, Adventure, Comedy",7.8,84.0,josh cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,203177,434038008,8522500,1145640,5428,496850832
toy story 3,2010,U,103 min,"Animation, Adventure, Comedy",8.2,92.0,lee unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,757032,415004880,8110300,1145640,14333,556981936
dunkirk,2017,UA,106 min,"Action, Drama, History",7.8,94.0,christopher nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,555092,188373161,7971166,145366,1607733,224903506
1917,2019,R,119 min,"Drama, Thriller, War",8.3,78.0,sam mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,425844,159227644,7926350,108306,278266,182270644
la la land,2016,A,128 min,"Comedy, Drama, Music",8.0,94.0,damien chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,505918,151101803,7673150,506625,268750,184247535
gravity,2013,UA,91 min,"Drama, Sci-Fi, Thriller",7.7,96.0,alfonso cuarón,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,769145,274092705,7212300,293978,30670,344332218
straight outta compton,2015,R,147 min,"Biography, Drama, History",7.8,72.0,f. gary gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,179264,161197785,7200600,19488,9842,199037781
the fault in our stars,2014,UA,126 min,"Drama, Romance",7.7,69.0,josh boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,344312,124872350,6354700,202643,31200,154368231
moana,2016,U,107 min,"Animation, Adventure, Comedy",7.6,81.0,ron clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho,272784,248757044,6283817,202643,15133,303324456
bajrangi bhaijaan,2015,UA,163 min,"Action, Adventure, Comedy",8.0,,kabir khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,72245,8178001,6259400,264906,89266,10097726
the martian,2015,UA,144 min,"Adventure, Drama, Sci-Fi",8.0,80.0,ridley scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,760094,228433663,6247600,305221,269468,282056787
baby driver,2017,UA,113 min,"Action, Crime, Drama",7.6,86.0,edgar wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,439406,107825862,6199650,158846,177990,128736038
