Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,MaxTrends_movie,MaxTrends_Actor,MaxTrends_Director
inception,2010.0,UA,148 min,"Action, Adventure, Sci-Fi",8.8,74.0,christopher nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042,"292,576,195",11969333,279803,1607733
gisaengchung,2019.0,A,132 min,"Comedy, Drama, Thriller",8.6,96.0,bong joon ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,552778,"53,367,844",34640,2583,390600
interstellar,2014.0,UA,169 min,"Adventure, Drama, Sci-Fi",8.6,74.0,christopher nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,1512360,"188,020,017",13634200,370785,1607733
joker,2019.0,A,122 min,"Crime, Drama, Thriller",8.5,59.0,todd phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,939252,"335,451,311",27528800,909128,55614
whiplash,2014.0,A,106 min,"Drama, Music",8.5,88.0,damien chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,717585,"13,092,000",1712509,107440,268750
the intouchables,2011.0,UA,112 min,"Biography, Comedy, Drama",8.5,57.0,olivier nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,760360,"13,182,281",32928,104014,6606
capharnaüm,2018.0,A,126 min,Drama,8.4,75.0,nadine labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,62635,"1,661,096",54333,153590,28180
dangal,2016.0,U,161 min,"Action, Biography, Drama",8.4,,nitesh tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,156479,"12,391,761",9574900,133231,11032
spider-man  into the spider-verse,2018.0,U,117 min,"Animation, Action, Adventure",8.4,87.0,bob persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,375110,"190,241,310",180135,152726,12816
avengers  endgame,2019.0,UA,181 min,"Action, Adventure, Drama",8.4,78.0,anthony russo,Chris Hemsworth,Robert Downey Jr,Chris Evans,Mark Ruffalo,809955,"858,373,000",15310100,651178,16692
avengers  infinity war,2018.0,UA,149 min,"Action, Adventure, Sci-Fi",8.4,68.0,anthony russo,Scarlett Johansson,Robert Downey Jr,Chris Hemsworth,Mark Ruffalo,834477,"678,815,482",7988200,696753,16692
coco,2017.0,U,105 min,"Animation, Adventure, Family",8.4,81.0,lee unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,384171,"209,726,015",9370726,104843,14333
django unchained,2012.0,A,165 min,"Drama, Western",8.4,81.0,quentin tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,1357682,"162,805,434",5450000,468462,1187284
the dark knight rises,2012.0,UA,164 min,"Action, Adventure",8.4,78.0,christopher nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,1516346,"448,139,099",9932500,266315,1607733
1917,2019.0,R,119 min,"Drama, Thriller, War",8.3,78.0,sam mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,425844,"159,227,644",7926350,108306,278266
andhadhun,2018.0,UA,139 min,"Crime, Drama, Music",8.3,,sriram raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,71875,"1,373,943",818966,107624,20275
jagten,2012.0,R,115 min,Drama,8.3,77.0,thomas vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,281623,"687,185",40992,138819,56466
jodaeiye nader az simin,2011.0,PG-13,123 min,Drama,8.3,95.0,asghar farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,220002,"7,098,492",14200,101857,38566
