index,Title,Gross,1st-100-Relative-Date,1st-0,1st-1,1st--2,1st--3,2nd-100-Relative-Date,2nd-0,2nd-1,2nd-2,2nd-3
0,x-men days of future past,,2014-04-30,357000.0,78540.0,46410.0,32130.0,,,,,
1,zootopia,,2016-02-29,6123840.0,1469721.0,489907.0,244953.0,,,,,
2,what ever happened to baby jane_,,2017-02-28,8437.0,1096.0,928.0,0.0,,,,,
3,what we do in the shadows,,2020-05-31,312677.0,303297.0,243888.0,81296.0,,,,,
4,white heat,,2012-02-29,80492.0,40246.0,36221.0,37026.0,,,,,
5,warrior,,2014-03-31,5022378.0,2410741.0,2310294.0,2511189.0,,,,,
6,wind river,,2017-08-31,1463637.0,878182.0,87818.0,58545.0,,,,,
7,y tu mamá también,,2011-12-31,16717.0,15881.0,15045.0,13707.0,,,,,
8,true grit,,2010-12-31,2033950.0,1830555.0,264413.0,162716.0,,,,,
9,udta punjab,,2016-05-31,,,,,,,,,
10,zulu,,2016-08-31,1366063.0,560085.0,737674.0,532764.0,,,,,
11,zindagi na milegi dobara,,2011-06-30,,,,,,,,,
12,twelve monkeys,,2014-12-31,36787.0,16186.0,15450.0,15082.0,,,,,
13,wreck-it ralph,,2012-10-31,145487.0,34917.0,21823.0,13093.0,,,,,
14,witness for the prosecution,,2016-11-30,110109.0,5505.0,5505.0,5505.0,,,,,
15,who framed roger rabbit,,2013-06-30,42958.0,24486.0,26204.0,24915.0,,,,,
16,zodiac,,2010-12-31,11146982.0,2006456.0,2117926.0,1894986.0,,,,,
17,vicky donor,,2012-04-30,1279200.0,1176864.0,63960.0,0.0,,,,,
18,x first class,,2011-05-31,1832600.0,531454.0,109956.0,109956.0,,,,,
19,yip man,,2010-04-30,,,,,,,,,
20,udaan,,2018-09-30,458742.0,412867.0,252308.0,201846.0,,,,,
21,toy story 3,,2010-06-30,8110300.0,7948094.0,1216545.0,729927.0,,,,,
22,toy story 4,,2019-05-31,8522500.0,1107925.0,511350.0,681800.0,,,,,
23,toy story 2,,2010-06-30,788488.0,693870.0,220776.0,189237.0,,,,,
24,the wolf of wall street,,2013-12-31,5016000.0,1354320.0,250800.0,150480.0,,,,,
25,uri  the surgical strike,,2018-12-31,377100.0,3771.0,0.0,0.0,,,,,
26,willy wonka _ the chocolate factory,,2016-08-31,17958.0,6824.0,2873.0,13827.0,,,,,
27,trainspotting,,2017-01-31,,,,,,,,,
28,the theory of everything,,2015-01-31,1307400.0,1006698.0,575256.0,496812.0,,,,,
29,the wild bunch,,2019-11-30,25996.0,4679.0,4419.0,5199.0,,,,,
30,training day,,2017-01-31,384645.0,165397.0,123086.0,119239.0,,,,,
31,tropa de elite,,2010-09-30,,,,,,,,,
32,whiplash,,2015-01-31,2762112.0,1712509.0,497180.0,414316.0,,,,,
33,wonder,,2017-05-31,16891711.0,5743182.0,3209425.0,3209425.0,,,,,
34,under sandet,,2015-11-30,0.0,0.0,0.0,0.0,,,,,
35,victoria,,2011-11-30,18056765.0,17515062.0,15528818.0,15889953.0,2012-11-30,18056765.0,16070521.0,15348250.0,15709385.0
36,tumbbad,,2018-09-30,338823.0,10164.0,3388.0,0.0,,,,,
37,the trial of the chicago 7,,2020-09-30,370350.0,33331.0,3703.0,3703.0,,,,,
38,this is england,,2010-08-31,963983.0,163877.0,67478.0,77118.0,,,,,
39,the untouchables,,2012-12-31,91174.0,70204.0,66557.0,72939.0,,,,,
40,thor ragnarok,,2017-10-31,14160500.0,6513830.0,1416050.0,991235.0,,,,,
41,the magnificent seven,,2016-09-30,1405700.0,1054275.0,112456.0,84342.0,,,,,
42,the wizard of oz,,2019-08-31,2825775.0,1102052.0,113031.0,84773.0,,,,,
43,the odd couple,,2015-01-31,158122.0,77479.0,23718.0,20555.0,,,,,
44,the shawshank redemption,,2020-03-31,118830.0,95064.0,51097.0,51097.0,,,,,
45,the right stuff,,2020-09-30,208100.0,39539.0,35377.0,33296.0,,,,,
46,the sound of music,,2013-11-30,690153.0,172538.0,82818.0,103523.0,,,,,
47,the sixth sense,,2013-09-30,208610.0,56324.0,54238.0,52152.0,,,,,
48,the sandlot,,2016-04-30,156804.0,45473.0,42337.0,37633.0,,,,,
49,three billboards outside ebbing  missouri,,2017-12-31,660950.0,165237.0,132190.0,19828.0,,,,,
50,toy story,,2019-05-31,13607944.0,2449430.0,1769032.0,2041191.0,,,,,
51,the secret of kells,,2010-02-28,60050.0,53444.0,7206.0,4203.0,,,,,
52,the social network,,2010-09-30,2848000.0,797440.0,256320.0,256320.0,,,,,
53,the remains of the day,,2017-09-30,72788.0,10918.0,9462.0,12374.0,,,,,
54,the shining,,2019-10-31,711359.0,654450.0,348566.0,312998.0,,,,,
55,the invisible man,,2020-02-29,1416966.0,637635.0,70848.0,42509.0,,,,,
56,the peanut butter falcon,,2019-08-31,226850.0,183748.0,6805.0,13611.0,,,,,
57,the perks of being a wallflower,,2012-09-30,,,,,,,,,
58,the muppet movie,,2011-10-31,72400.0,12308.0,7964.0,7964.0,,,,,
59,the purple rose of cairo,,2014-10-31,14472.0,3184.0,2749.0,1881.0,,,,,
60,the revenant,,2015-12-31,,,,,,,,,
61,the lunchbox,,2013-08-31,159792.0,25566.0,12783.0,12783.0,,,,,
62,the iron giant,,2018-03-31,43461.0,31726.0,24338.0,23903.0,,,,,
63,the lady vanishes,,2013-02-28,40761.0,2038.0,3668.0,3260.0,,,,,
64,the fugitive,,2020-07-31,132618.0,79570.0,51721.0,75592.0,,,,,
65,the innocents,,2018-07-31,268672.0,13433.0,13433.0,13433.0,,,,,
66,the irishman,,2019-10-31,3964350.0,832513.0,475722.0,356791.0,,,,,
67,the killing,,2012-05-31,1350136.0,1080108.0,1107111.0,729073.0,2014-07-31,1350136.0,796580.0,621062.0,648065.0
68,the martian,,2015-09-30,6247600.0,1624376.0,812188.0,374856.0,,,,,
69,the game,,2014-12-31,10332956.0,9299660.0,8783012.0,8576353.0,,,,,
70,the jungle book,,2016-03-31,4112750.0,411275.0,287892.0,164510.0,,,,,
71,the broken circle breakdown,,2014-02-28,97100.0,93216.0,80593.0,65057.0,,,,,
72,the imitation game,,2014-12-31,2611200.0,835584.0,417792.0,104448.0,,,,,
73,the goonies,,2014-03-31,164273.0,114991.0,65709.0,88707.0,,,,,
74,the longest day,,2020-05-31,296409.0,71138.0,35569.0,32605.0,,,,,
75,the intouchables,,2013-02-28,143166.0,98785.0,133145.0,137440.0,,,,,
76,the avengers,,2012-04-30,,,,,,,,,
77,the hurricane,,2017-08-31,4919061.0,1033002.0,147571.0,196762.0,,,,,
78,the kings speech,,2010-12-31,,,,,,,,,
79,the king of comedy,,2019-09-30,33890.0,17284.0,10844.0,6100.0,,,,,
80,the lost weekend,,2018-12-31,28778.0,4029.0,4892.0,4316.0,,,,,
81,the gentlemen,,2020-01-31,1315566.0,1262944.0,197335.0,78934.0,,,,,
82,the muppet christmas carol,,2017-11-30,13800.0,2760.0,690.0,414.0,,,,,
83,the dark knight rises,,2012-06-30,9932500.0,1589200.0,1291225.0,794600.0,,,,,
84,the lego movie,,2014-01-31,1802650.0,360530.0,90132.0,90132.0,,,,,
85,the birds,,2010-12-31,1050700.0,504336.0,493829.0,430787.0,,,,,
86,the lion king,,2019-06-30,4766740.0,762678.0,476674.0,572008.0,,,,,
87,the kid,,2010-05-31,1984657.0,1151101.0,1071715.0,1210641.0,,,,,
88,the boondock saints,,2010-02-28,217825.0,187329.0,89308.0,128516.0,,,,,
89,the big short,,2015-12-31,2899762.0,1333890.0,173985.0,57995.0,,,,,
90,the florida project,,2018-01-31,375985.0,364706.0,236871.0,266949.0,,,,,
91,the dark knight,,2012-06-30,9147900.0,1738101.0,1280706.0,914790.0,,,,,
92,the dirty dozen,,2020-04-30,23266.0,12564.0,10237.0,11633.0,,,,,
93,the french connection,,2011-03-31,46016.0,41414.0,39573.0,40034.0,,,,,
94,taken,,2014-12-31,6749174.0,2497194.0,2024752.0,2497194.0,,,,,
95,sweet smell of success,,2010-09-30,8121.0,3816.0,2598.0,2192.0,,,,,
96,the fall,,2019-10-31,3401701.0,1632816.0,1768884.0,1292646.0,,,,,
97,star wars,,2015-11-30,70917771.0,22693686.0,19856976.0,9928488.0,,,,,
98,the hateful eight,,2015-12-31,1768550.0,1061130.0,141484.0,53056.0,,,,,
99,strangers on a train,,2013-10-31,30800.0,18172.0,16940.0,9548.0,,,,,
100,the hobbit  the desolation of smaug,,2013-11-30,515400.0,92772.0,56694.0,25770.0,,,,,
101,the fault in our stars,,2014-05-31,6354700.0,2033504.0,1016752.0,762564.0,,,,,
102,tangled,,2020-02-29,4581925.0,458192.0,412373.0,504011.0,,,,,
103,star trek into darkness,,2013-04-30,1722100.0,344420.0,223873.0,172210.0,,,,,
104,the grand budapest hotel,,2014-02-28,604220.0,120844.0,36253.0,30211.0,,,,,
105,the green mile,,2012-08-31,476483.0,66707.0,76237.0,76237.0,,,,,
106,spotlight,,2016-01-31,,,,,,,,,
107,the hobbit  an unexpected journey,,2012-11-30,338500.0,47390.0,20310.0,27080.0,,,,,
108,the breakfast club,,2013-07-31,319445.0,261945.0,261945.0,252361.0,,,,,
109,the bridge on the river kwai,,2014-02-28,23511.0,10344.0,8228.0,10109.0,,,,,
110,shadow of a doubt,,2015-10-31,24879.0,5722.0,5722.0,8707.0,,,,,
111,searching,,2018-08-31,1933352.0,696006.0,425337.0,425337.0,,,,,
112,the fighter,,2010-12-31,1736950.0,1493777.0,573193.0,434237.0,,,,,
113,stagecoach,,2010-11-30,645591.0,419634.0,367986.0,367986.0,,,,,
114,the artist,,2012-01-31,2413433.0,1882478.0,892970.0,579224.0,,,,,
115,sleuth,,2016-01-31,964477.0,144671.0,77158.0,77158.0,,,,,
116,spartacus,,2012-02-29,5960700.0,4947381.0,3337992.0,1788210.0,,,,,
117,seppuku,,2015-11-30,119619.0,57417.0,52632.0,45455.0,,,,,
118,short term 12,,2013-12-31,90200.0,24354.0,15334.0,18040.0,,,,,
119,the girl with the dragon tattoo,,2011-12-31,,,,,,,,,
120,se7en,,2010-07-31,217170.0,204140.0,130302.0,138989.0,,,,,
121,sicario,,2015-09-30,2824487.0,988570.0,169469.0,141224.0,,,,,
122,straight outta compton,,2015-07-31,7200600.0,504042.0,216018.0,144012.0,,,,,
123,sholay,,2013-12-31,429157.0,128747.0,64373.0,60082.0,2018-08-31,429157.0,416282.0,321867.0,266077.0
124,talvar,,2015-09-30,641350.0,44894.0,25654.0,6413.0,,,,,
125,stand by me,,2014-11-30,1176240.0,552832.0,446971.0,435208.0,,,,,
126,secrets _ lies,,2015-02-28,14733.0,4714.0,2946.0,1473.0,,,,,
127,the blind side,,2010-02-28,7113975.0,2774450.0,3628127.0,5050922.0,,,,,
128,song of the sea,,2015-02-28,,,,,,,,,
129,the big lebowski,,2014-01-31,,,,,,,,,
